14:35:41.421 > Starting HX711 dual-example (Teensy + Adafruit HX711)
14:35:41.422 > Scale 1 is busy...
14:35:41.422 > Scale 2 is busy...
14:35:41.433 > Scale 1 is busy...
14:35:41.433 > Scale 2 is busy...
14:35:41.441 > Scale 1 is busy...
14:35:41.443 > Scale 2 is busy...
14:35:41.452 > Scale 1 is busy...
14:35:41.452 > Scale 2 is busy...
14:35:41.461 > Scale 1 is busy...
14:35:41.463 > Scale 2 is busy...
14:35:41.472 > Scale 1 is busy...
14:35:41.472 > Scale 2 is busy...
14:35:41.480 > Scale 1 is busy...
14:35:41.483 > Scale 2 is busy...
14:35:41.506 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
14:35:41.506 > 
14:35:41.506 > Calibration complete. Readings follow...
14:35:58.897 > [char] Starting throttle ramp to 0.40 then back to 0
14:35:58.897 > READ_CSV,24563,1,78.417,156463,52.233700,152367,0.000
14:35:58.897 > READ_CSV,24563,2,39.764,39846,52.233700,37769,0.000
14:35:58.897 > READ_CSV,24563,3,59.090,0,52.233700,0,0.000
14:35:58.911 > READ_CSV,24572,1,78.551,156470,52.233700,152367,0.000
14:35:58.911 > READ_CSV,24572,2,39.649,39840,52.233700,37769,0.000
14:35:58.911 > READ_CSV,24572,3,59.100,0,52.233700,0,0.000
14:35:58.922 > READ_CSV,24583,1,78.742,156480,52.233700,152367,0.000
14:35:58.922 > READ_CSV,24583,2,39.802,39848,52.233700,37769,0.000
14:35:58.922 > READ_CSV,24583,3,59.272,0,52.233700,0,0.000
14:35:58.931 > READ_CSV,24595,1,73.248,156193,52.233700,152367,0.001
14:35:58.931 > READ_CSV,24595,2,41.506,39937,52.233700,37769,0.001
14:35:58.931 > READ_CSV,24595,3,57.377,0,52.233700,0,0.001
14:35:58.942 > READ_CSV,24606,1,73.324,156197,52.233700,152367,0.001
14:35:58.942 > READ_CSV,24606,2,40.319,39875,52.233700,37769,0.001
14:35:58.942 > READ_CSV,24606,3,56.822,0,52.233700,0,0.001
14:35:58.958 > READ_CSV,24618,1,78.168,156450,52.233700,152367,0.002
14:35:58.958 > READ_CSV,24618,2,38.577,39784,52.233700,37769,0.002
14:35:58.958 > READ_CSV,24618,3,58.372,0,52.233700,0,0.002
14:35:58.967 > READ_CSV,24629,1,78.953,156491,52.233700,152367,0.002
14:35:58.967 > READ_CSV,24629,2,41.219,39922,52.233700,37769,0.002
14:35:58.967 > READ_CSV,24629,3,60.086,0,52.233700,0,0.002
14:35:58.981 > READ_CSV,24641,1,79.661,156528,52.233700,152367,0.003
14:35:58.981 > READ_CSV,24641,2,38.749,39793,52.233700,37769,0.003
14:35:58.981 > READ_CSV,24641,3,59.205,0,52.233700,0,0.003
14:35:58.990 > READ_CSV,24652,1,76.675,156372,52.233700,152367,0.003
14:35:58.990 > READ_CSV,24652,2,38.615,39786,52.233700,37769,0.003
14:35:58.990 > READ_CSV,24652,3,57.645,0,52.233700,0,0.003
14:35:58.998 > READ_CSV,24664,1,74.492,156258,52.233700,152367,0.004
14:35:58.998 > READ_CSV,24664,2,35.571,39627,52.233700,37769,0.004
14:35:58.998 > READ_CSV,24664,3,55.032,0,52.233700,0,0.004
14:35:59.015 > READ_CSV,24675,1,75.679,156320,52.233700,152367,0.004
14:35:59.015 > READ_CSV,24675,2,34.652,39579,52.233700,37769,0.004
14:35:59.015 > READ_CSV,24675,3,55.166,0,52.233700,0,0.004
14:35:59.027 > READ_CSV,24687,1,73.497,156206,52.233700,152367,0.005
14:35:59.027 > READ_CSV,24687,2,38.021,39755,52.233700,37769,0.005
14:35:59.027 > READ_CSV,24687,3,55.759,0,52.233700,0,0.005
14:35:59.037 > READ_CSV,24698,1,74.932,156281,52.233700,152367,0.005
14:35:59.037 > READ_CSV,24698,2,39.649,39840,52.233700,37769,0.005
14:35:59.037 > READ_CSV,24698,3,57.291,0,52.233700,0,0.005
14:35:59.048 > READ_CSV,24710,1,73.401,156201,52.233700,152367,0.006
14:35:59.048 > READ_CSV,24710,2,38.845,39798,52.233700,37769,0.006
14:35:59.048 > READ_CSV,24710,3,56.123,0,52.233700,0,0.006
14:35:59.056 > READ_CSV,24721,1,74.779,156273,52.233700,152367,0.006
14:35:59.056 > READ_CSV,24721,2,38.309,39770,52.233700,37769,0.006
14:35:59.056 > READ_CSV,24721,3,56.544,0,52.233700,0,0.006
14:35:59.073 > READ_CSV,24733,1,76.617,156369,52.233700,152367,0.007
14:35:59.073 > READ_CSV,24733,2,38.979,39805,52.233700,37769,0.007
14:35:59.073 > READ_CSV,24733,3,57.798,0,52.233700,0,0.007
14:35:59.082 > READ_CSV,24744,1,78.359,156460,52.233700,152367,0.007
14:35:59.082 > READ_CSV,24744,2,39.572,39836,52.233700,37769,0.007
14:35:59.082 > READ_CSV,24744,3,58.966,0,52.233700,0,0.007
14:35:59.092 > READ_CSV,24756,1,77.957,156439,52.233700,152367,0.008
14:35:59.092 > READ_CSV,24756,2,38.615,39786,52.233700,37769,0.008
14:35:59.092 > READ_CSV,24756,3,58.286,0,52.233700,0,0.008
14:35:59.108 > READ_CSV,24768,1,74.282,156247,52.233700,152367,0.008
14:35:59.108 > READ_CSV,24768,2,37.122,39708,52.233700,37769,0.008
14:35:59.108 > READ_CSV,24768,3,55.702,0,52.233700,0,0.008
14:35:59.116 > READ_CSV,24780,1,75.813,156327,52.233700,152367,0.009
14:35:59.116 > READ_CSV,24780,2,35.265,39611,52.233700,37769,0.009
14:35:59.116 > READ_CSV,24780,3,55.539,0,52.233700,0,0.009
14:35:59.124 > READ_CSV,24791,1,75.890,156331,52.233700,152367,0.009
14:35:59.132 > READ_CSV,24791,2,34.154,39553,52.233700,37769,0.009
14:35:59.132 > READ_CSV,24791,3,55.022,0,52.233700,0,0.009
14:35:59.141 > READ_CSV,24803,1,79.125,156500,52.233700,152367,0.010
14:35:59.141 > READ_CSV,24803,2,35.954,39647,52.233700,37769,0.010
14:35:59.141 > READ_CSV,24803,3,57.539,0,52.233700,0,0.010
14:35:59.149 > READ_CSV,24815,1,74.894,156279,52.233700,152367,0.010
14:35:59.149 > READ_CSV,24815,2,38.060,39757,52.233700,37769,0.010
14:35:59.149 > READ_CSV,24815,3,56.477,0,52.233700,0,0.010
14:35:59.166 > READ_CSV,24826,1,73.860,156225,52.233700,152367,0.011
14:35:59.166 > READ_CSV,24826,2,37.543,39730,52.233700,37769,0.011
14:35:59.166 > READ_CSV,24826,3,55.702,0,52.233700,0,0.011
14:35:59.175 > READ_CSV,24838,1,73.075,156184,52.233700,152367,0.011
14:35:59.175 > READ_CSV,24838,2,36.605,39681,52.233700,37769,0.011
14:35:59.175 > READ_CSV,24838,3,54.840,0,52.233700,0,0.011
14:35:59.190 > READ_CSV,24850,1,78.723,156479,52.233700,152367,0.012
14:35:59.190 > READ_CSV,24850,2,41.410,39932,52.233700,37769,0.012
14:35:59.190 > READ_CSV,24850,3,60.067,0,52.233700,0,0.012
14:35:59.200 > READ_CSV,24862,1,80.925,156594,52.233700,152367,0.012
14:35:59.200 > READ_CSV,24862,2,42.674,39998,52.233700,37769,0.012
14:35:59.200 > READ_CSV,24862,3,61.799,0,52.233700,0,0.012
14:35:59.207 > READ_CSV,24873,1,79.010,156494,52.233700,152367,0.013
14:35:59.207 > READ_CSV,24873,2,42.272,39977,52.233700,37769,0.013
14:35:59.207 > READ_CSV,24873,3,60.641,0,52.233700,0,0.013
14:35:59.225 > READ_CSV,24885,1,76.904,156384,52.233700,152367,0.013
14:35:59.225 > READ_CSV,24885,2,43.688,40051,52.233700,37769,0.013
14:35:59.225 > READ_CSV,24885,3,60.296,0,52.233700,0,0.013
14:35:59.236 > READ_CSV,24897,1,76.273,156351,52.233700,152367,0.014
14:35:59.238 > READ_CSV,24897,2,38.634,39787,52.233700,37769,0.014
14:35:59.238 > READ_CSV,24897,3,57.453,0,52.233700,0,0.014
14:35:59.249 > READ_CSV,24908,1,74.416,156254,52.233700,152367,0.014
14:35:59.266 > READ_CSV,24908,2,37.524,39729,52.233700,37769,0.014
14:35:59.266 > READ_CSV,24908,3,55.970,0,52.233700,0,0.014
14:35:59.266 > READ_CSV,24920,1,77.230,156401,52.233700,152367,0.015
14:35:59.266 > READ_CSV,24920,2,36.930,39698,52.233700,37769,0.015
14:35:59.266 > READ_CSV,24920,3,57.080,0,52.233700,0,0.015
14:35:59.266 > READ_CSV,24932,1,75.890,156331,52.233700,152367,0.015
14:35:59.266 > READ_CSV,24932,2,37.390,39722,52.233700,37769,0.015
14:35:59.266 > READ_CSV,24932,3,56.640,0,52.233700,0,0.015
14:35:59.282 > READ_CSV,24944,1,76.713,156374,52.233700,152367,0.016
14:35:59.282 > READ_CSV,24944,2,38.940,39803,52.233700,37769,0.016
14:35:59.282 > READ_CSV,24944,3,57.827,0,52.233700,0,0.016
14:35:59.296 > READ_CSV,24955,1,78.781,156482,52.233700,152367,0.016
14:35:59.296 > READ_CSV,24955,2,40.166,39867,52.233700,37769,0.016
14:35:59.296 > READ_CSV,24955,3,59.473,0,52.233700,0,0.016
14:35:59.300 > READ_CSV,24967,1,78.015,156442,52.233700,152367,0.017
14:35:59.308 > READ_CSV,24967,2,37.773,39742,52.233700,37769,0.017
14:35:59.308 > READ_CSV,24967,3,57.894,0,52.233700,0,0.017
14:35:59.317 > READ_CSV,24979,1,72.616,156160,52.233700,152367,0.017
14:35:59.317 > READ_CSV,24979,2,37.160,39710,52.233700,37769,0.017
14:35:59.317 > READ_CSV,24979,3,54.888,0,52.233700,0,0.017
14:35:59.329 > READ_CSV,24990,1,75.373,156304,52.233700,152367,0.018
14:35:59.329 > READ_CSV,24990,2,38.883,39800,52.233700,37769,0.018
14:35:59.329 > READ_CSV,24990,3,57.128,0,52.233700,0,0.018
14:35:59.342 > READ_CSV,25002,1,79.144,156501,52.233700,152367,0.018
14:35:59.342 > READ_CSV,25002,2,39.974,39857,52.233700,37769,0.018
14:35:59.342 > READ_CSV,25002,3,59.559,0,52.233700,0,0.018
14:35:59.352 > READ_CSV,25014,1,82.801,156692,52.233700,152367,0.019
14:35:59.352 > READ_CSV,25014,2,39.936,39855,52.233700,37769,0.019
14:35:59.352 > READ_CSV,25014,3,61.368,0,52.233700,0,0.019
14:35:59.366 > READ_CSV,25026,1,80.427,156568,52.233700,152367,0.019
14:35:59.366 > READ_CSV,25026,2,38.251,39767,52.233700,37769,0.019
14:35:59.366 > READ_CSV,25026,3,59.339,0,52.233700,0,0.019
14:35:59.377 > READ_CSV,25037,1,77.919,156437,52.233700,152367,0.020
14:35:59.377 > READ_CSV,25037,2,39.342,39824,52.233700,37769,0.020
14:35:59.377 > READ_CSV,25037,3,58.631,0,52.233700,0,0.020
14:35:59.387 > READ_CSV,25049,1,74.626,156265,52.233700,152367,0.020
14:35:59.387 > READ_CSV,25049,2,42.272,39977,52.233700,37769,0.020
14:35:59.387 > READ_CSV,25049,3,58.449,0,52.233700,0,0.020
14:35:59.399 > READ_CSV,25061,1,75.698,156321,52.233700,152367,0.021
14:35:59.399 > READ_CSV,25061,2,41.582,39941,52.233700,37769,0.021
14:35:59.399 > READ_CSV,25061,3,58.640,0,52.233700,0,0.021
14:35:59.412 > READ_CSV,25072,1,76.790,156378,52.233700,152367,0.021
14:35:59.412 > READ_CSV,25072,2,38.500,39780,52.233700,37769,0.021
14:35:59.412 > READ_CSV,25072,3,57.645,0,52.233700,0,0.021
14:35:59.424 > READ_CSV,25084,1,74.798,156274,52.233700,152367,0.022
14:35:59.425 > READ_CSV,25084,2,42.482,39988,52.233700,37769,0.022
14:35:59.425 > READ_CSV,25084,3,58.640,0,52.233700,0,0.022
14:35:59.434 > READ_CSV,25096,1,76.196,156347,52.233700,152367,0.022
14:35:59.434 > READ_CSV,25096,2,40.989,39910,52.233700,37769,0.022
14:35:59.434 > READ_CSV,25096,3,58.592,0,52.233700,0,0.022
14:35:59.442 > READ_CSV,25108,1,75.851,156329,52.233700,152367,0.023
14:35:59.442 > READ_CSV,25108,2,36.700,39686,52.233700,37769,0.023
14:35:59.442 > READ_CSV,25108,3,56.276,0,52.233700,0,0.023
14:35:59.459 > READ_CSV,25119,1,74.664,156267,52.233700,152367,0.023
14:35:59.459 > READ_CSV,25119,2,36.643,39683,52.233700,37769,0.023
14:35:59.459 > READ_CSV,25119,3,55.654,0,52.233700,0,0.023
14:35:59.468 > READ_CSV,25131,1,77.134,156396,52.233700,152367,0.024
14:35:59.468 > READ_CSV,25131,2,36.815,39692,52.233700,37769,0.024
14:35:59.468 > READ_CSV,25131,3,56.975,0,52.233700,0,0.024
14:35:59.475 > READ_CSV,25143,1,74.569,156262,52.233700,152367,0.024
14:35:59.484 > READ_CSV,25143,2,38.385,39774,52.233700,37769,0.024
14:35:59.484 > READ_CSV,25143,3,56.477,0,52.233700,0,0.024
14:35:59.493 > READ_CSV,25154,1,74.492,156258,52.233700,152367,0.025
14:35:59.493 > READ_CSV,25154,2,40.376,39878,52.233700,37769,0.025
14:35:59.493 > READ_CSV,25154,3,57.434,0,52.233700,0,0.025
14:35:59.501 > READ_CSV,25166,1,75.105,156290,52.233700,152367,0.025
14:35:59.501 > READ_CSV,25166,2,40.376,39878,52.233700,37769,0.025
14:35:59.501 > READ_CSV,25166,3,57.741,0,52.233700,0,0.025
14:35:59.518 > READ_CSV,25178,1,72.482,156153,52.233700,152367,0.026
14:35:59.518 > READ_CSV,25178,2,37.122,39708,52.233700,37769,0.026
14:35:59.518 > READ_CSV,25178,3,54.802,0,52.233700,0,0.026
14:35:59.527 > READ_CSV,25189,1,74.282,156247,52.233700,152367,0.026
14:35:59.527 > READ_CSV,25189,2,37.619,39734,52.233700,37769,0.026
14:35:59.527 > READ_CSV,25189,3,55.950,0,52.233700,0,0.026
14:35:59.534 > READ_CSV,25201,1,76.521,156364,52.233700,152367,0.027
14:35:59.542 > READ_CSV,25201,2,37.964,39752,52.233700,37769,0.027
14:35:59.542 > READ_CSV,25201,3,57.243,0,52.233700,0,0.027
