17:41:02.935 > Starting HX711 dual-example (Teensy + Adafruit HX711)
17:41:02.936 > Scale 1 is busy...
17:41:02.936 > Scale 2 is busy...
17:41:02.944 > Scale 2 is busy...
17:41:02.956 > Scale 2 is busy...
17:41:02.966 > Scale 2 is busy...
17:41:02.978 > Scale 2 is busy...
17:41:02.985 > Scale 2 is busy...
17:41:02.994 > Scale 2 is busy...
17:41:03.016 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
17:41:03.018 > Calibrating both scales together:
17:41:16.789 > Tare1 raw = 103734
17:41:16.789 > Tare2 raw = 15431
17:41:16.789 > 
17:41:16.789 > Calibration complete. Readings follow...
17:41:35.590 > [char] Starting throttle ramp to 0.40 then back to 0
17:41:35.590 > READ_CSV,518505,1,926.069,152106,52.233700,103734,0.000
17:41:35.590 > READ_CSV,518505,2,112.667,21316,52.233700,15431,0.000
17:41:35.590 > READ_CSV,518505,3,519.368,0,52.233700,0,0.000
17:41:35.602 > READ_CSV,518524,1,914.008,151476,52.233700,103734,0.000
17:41:35.602 > READ_CSV,518524,2,-295.441,-1,52.233700,15431,0.000
17:41:35.602 > READ_CSV,518524,3,309.283,0,52.233700,0,0.000
17:41:35.620 > READ_CSV,518535,1,893.714,150416,52.233700,103734,0.015
17:41:35.620 > READ_CSV,518535,2,115.002,21438,52.233700,15431,0.015
17:41:35.620 > READ_CSV,518535,3,504.358,0,52.233700,0,0.015
17:41:35.632 > READ_CSV,518547,1,888.794,150159,52.233700,103734,0.015
17:41:35.632 > READ_CSV,518547,2,-295.441,-1,52.233700,15431,0.015
17:41:35.632 > READ_CSV,518547,3,296.676,0,52.233700,0,0.015
17:41:35.644 > READ_CSV,518559,1,885.156,149969,52.233700,103734,0.030
17:41:35.644 > READ_CSV,518559,2,115.443,21461,52.233700,15431,0.030
17:41:35.644 > READ_CSV,518559,3,500.300,0,52.233700,0,0.030
17:41:35.661 > READ_CSV,518576,1,883.242,149869,52.233700,103734,0.030
17:41:35.666 > READ_CSV,518576,2,115.041,21440,52.233700,15431,0.030
17:41:35.666 > READ_CSV,518576,3,499.141,0,52.233700,0,0.030
17:41:35.666 > READ_CSV,518582,1,882.744,149843,52.233700,103734,0.045
17:41:35.666 > READ_CSV,518582,2,-295.441,-1,52.233700,15431,0.045
17:41:35.666 > READ_CSV,518582,3,293.651,0,52.233700,0,0.045
