18:14:54.752 > Starting HX711 dual-example (Teensy + Adafruit HX711)
18:14:54.752 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle
18:14:54.752 > Calibrating both scales together:
18:14:54.752 > 
18:14:54.752 > Calibration complete. Readings follow...
18:15:07.903 > [char] Starting throttle ramp to 0.40 then back to 0
18:15:07.903 > READ_CSV,30263,1,-2917.025,0,52.233700,152367,0.000
18:15:07.903 > READ_CSV,30263,2,-723.077,0,52.233700,37769,0.000
18:15:07.903 > READ_CSV,30263,3,-1820.051,0,52.233700,0,0.000
18:15:07.909 > READ_CSV,30275,1,-2917.025,0,52.233700,152367,0.000
18:15:07.909 > READ_CSV,30275,2,-723.077,0,52.233700,37769,0.000
18:15:07.909 > READ_CSV,30275,3,-1820.051,0,52.233700,0,0.000
18:15:07.940 > READ_CSV,30288,1,-2917.025,0,52.233700,152367,0.015
18:15:07.940 > READ_CSV,30288,2,-723.077,0,52.233700,37769,0.015
18:15:07.940 > READ_CSV,30288,3,-1820.051,0,52.233700,0,0.015
18:15:07.940 > READ_CSV,30300,1,-2917.025,0,52.233700,152367,0.015
18:15:07.940 > READ_CSV,30300,2,-723.077,0,52.233700,37769,0.015
18:15:07.940 > READ_CSV,30300,3,-1820.051,0,52.233700,0,0.015
18:15:07.955 > READ_CSV,30313,1,-2917.025,0,52.233700,152367,0.030
18:15:07.955 > READ_CSV,30313,2,-723.077,0,52.233700,37769,0.030
18:15:07.955 > READ_CSV,30313,3,-1820.051,0,52.233700,0,0.030
18:15:07.966 > READ_CSV,30325,1,-2917.025,0,52.233700,152367,0.030
18:15:07.966 > READ_CSV,30325,2,-723.077,0,52.233700,37769,0.030
18:15:07.966 > READ_CSV,30325,3,-1820.051,0,52.233700,0,0.030
18:15:07.976 > READ_CSV,30338,1,-2917.025,0,52.233700,152367,0.045
18:15:07.980 > READ_CSV,30338,2,-723.077,0,52.233700,37769,0.045
18:15:07.980 > READ_CSV,30338,3,-1820.051,0,52.233700,0,0.045
18:15:07.991 > READ_CSV,30350,1,-2917.025,0,52.233700,152367,0.045
18:15:07.991 > READ_CSV,30350,2,-723.077,0,52.233700,37769,0.045
18:15:07.991 > READ_CSV,30350,3,-1820.051,0,52.233700,0,0.045
18:15:08.005 > READ_CSV,30363,1,-2917.025,0,52.233700,152367,0.060
18:15:08.005 > READ_CSV,30363,2,-723.077,0,52.233700,37769,0.060
18:15:08.005 > READ_CSV,30363,3,-1820.051,0,52.233700,0,0.060
18:15:08.016 > READ_CSV,30375,1,-2917.025,0,52.233700,152367,0.060
18:15:08.016 > READ_CSV,30375,2,-723.077,0,52.233700,37769,0.060
18:15:08.016 > READ_CSV,30375,3,-1820.051,0,52.233700,0,0.060
18:15:08.025 > READ_CSV,30388,1,-2917.025,0,52.233700,152367,0.075
18:15:08.025 > READ_CSV,30388,2,-723.077,0,52.233700,37769,0.075
18:15:08.025 > READ_CSV,30388,3,-1820.051,0,52.233700,0,0.075
18:15:08.042 > READ_CSV,30400,1,-2917.025,0,52.233700,152367,0.075
18:15:08.042 > READ_CSV,30400,2,-723.077,0,52.233700,37769,0.075
18:15:08.042 > READ_CSV,30400,3,-1820.051,0,52.233700,0,0.075
18:15:08.054 > READ_CSV,30413,1,-2917.025,0,52.233700,152367,0.090
18:15:08.054 > READ_CSV,30413,2,-723.077,0,52.233700,37769,0.090
18:15:08.054 > READ_CSV,30413,3,-1820.051,0,52.233700,0,0.090
18:15:08.066 > READ_CSV,30425,1,-2917.025,0,52.233700,152367,0.090
18:15:08.066 > READ_CSV,30425,2,-723.077,0,52.233700,37769,0.090
18:15:08.066 > READ_CSV,30425,3,-1820.051,0,52.233700,0,0.090
18:15:08.079 > READ_CSV,30438,1,-2917.025,0,52.233700,152367,0.105
18:15:08.079 > READ_CSV,30438,2,-723.077,0,52.233700,37769,0.105
18:15:08.079 > READ_CSV,30438,3,-1820.051,0,52.233700,0,0.105
18:15:08.091 > READ_CSV,30450,1,-2917.025,0,52.233700,152367,0.105
18:15:08.091 > READ_CSV,30450,2,-723.077,0,52.233700,37769,0.105
18:15:08.091 > READ_CSV,30450,3,-1820.051,0,52.233700,0,0.105
18:15:08.105 > READ_CSV,30463,1,-2917.025,0,52.233700,152367,0.120
18:15:08.105 > READ_CSV,30463,2,-723.077,0,52.233700,37769,0.120
18:15:08.105 > READ_CSV,30463,3,-1820.051,0,52.233700,0,0.120
18:15:08.116 > READ_CSV,30475,1,-2917.025,0,52.233700,152367,0.120
18:15:08.116 > READ_CSV,30475,2,-723.077,0,52.233700,37769,0.120
18:15:08.116 > READ_CSV,30475,3,-1820.051,0,52.233700,0,0.120
18:15:08.129 > READ_CSV,30488,1,-2917.025,0,52.233700,152367,0.135
18:15:08.130 > READ_CSV,30488,2,-723.077,0,52.233700,37769,0.135
18:15:08.130 > READ_CSV,30488,3,-1820.051,0,52.233700,0,0.135
18:15:08.140 > READ_CSV,30500,1,-2917.025,0,52.233700,152367,0.135
18:15:08.140 > READ_CSV,30500,2,-723.077,0,52.233700,37769,0.135
18:15:08.140 > READ_CSV,30500,3,-1820.051,0,52.233700,0,0.135
18:15:08.148 > READ_CSV,30513,1,-2917.025,0,52.233700,152367,0.150
18:15:08.148 > READ_CSV,30513,2,-723.077,0,52.233700,37769,0.150
18:15:08.148 > READ_CSV,30513,3,-1820.051,0,52.233700,0,0.150
18:15:08.165 > READ_CSV,30525,1,-2917.025,0,52.233700,152367,0.150
18:15:08.165 > READ_CSV,30525,2,-723.077,0,52.233700,37769,0.150
18:15:08.165 > READ_CSV,30525,3,-1820.051,0,52.233700,0,0.150
18:15:08.179 > READ_CSV,30538,1,-2917.025,0,52.233700,152367,0.165
18:15:08.179 > READ_CSV,30538,2,-723.077,0,52.233700,37769,0.165
18:15:08.179 > READ_CSV,30538,3,-1820.051,0,52.233700,0,0.165
18:15:08.191 > READ_CSV,30550,1,-2917.025,0,52.233700,152367,0.165
18:15:08.191 > READ_CSV,30550,2,-723.077,0,52.233700,37769,0.165
18:15:08.191 > READ_CSV,30550,3,-1820.051,0,52.233700,0,0.165
18:15:08.203 > READ_CSV,30563,1,-2917.025,0,52.233700,152367,0.180
18:15:08.203 > READ_CSV,30563,2,-723.077,0,52.233700,37769,0.180
18:15:08.203 > READ_CSV,30563,3,-1820.051,0,52.233700,0,0.180
18:15:08.217 > READ_CSV,30575,1,-2917.025,0,52.233700,152367,0.180
18:15:08.217 > READ_CSV,30575,2,-723.077,0,52.233700,37769,0.180
18:15:08.217 > READ_CSV,30575,3,-1820.051,0,52.233700,0,0.180
18:15:08.229 > READ_CSV,30588,1,-2917.025,0,52.233700,152367,0.195
18:15:08.229 > READ_CSV,30588,2,-723.077,0,52.233700,37769,0.195
18:15:08.229 > READ_CSV,30588,3,-1820.051,0,52.233700,0,0.195
18:15:08.242 > READ_CSV,30600,1,-2917.025,0,52.233700,152367,0.195
18:15:08.242 > READ_CSV,30600,2,-723.077,0,52.233700,37769,0.195
18:15:08.242 > READ_CSV,30600,3,-1820.051,0,52.233700,0,0.195
18:15:08.255 > [char] At 0.40, ramping down
18:15:08.255 > READ_CSV,30613,1,-2917.025,0,52.233700,152367,0.200
18:15:08.255 > READ_CSV,30613,2,-723.077,0,52.233700,37769,0.200
18:15:08.255 > READ_CSV,30613,3,-1820.051,0,52.233700,0,0.200
18:15:08.265 > READ_CSV,30625,1,-2917.025,0,52.233700,152367,0.200
18:15:08.265 > READ_CSV,30625,2,-723.077,0,52.233700,37769,0.200
18:15:08.265 > READ_CSV,30625,3,-1820.051,0,52.233700,0,0.200
18:15:08.279 > READ_CSV,30638,1,-2917.025,0,52.233700,152367,0.200
18:15:08.279 > READ_CSV,30638,2,-723.077,0,52.233700,37769,0.200
18:15:08.279 > READ_CSV,30638,3,-1820.051,0,52.233700,0,0.200
18:15:08.292 > READ_CSV,30650,1,-2917.025,0,52.233700,152367,0.200
18:15:08.292 > READ_CSV,30650,2,-723.077,0,52.233700,37769,0.200
18:15:08.292 > READ_CSV,30650,3,-1820.051,0,52.233700,0,0.200
18:15:08.304 > READ_CSV,30663,1,-2917.025,0,52.233700,152367,0.200
18:15:08.305 > READ_CSV,30663,2,-723.077,0,52.233700,37769,0.200
18:15:08.305 > READ_CSV,30663,3,-1820.051,0,52.233700,0,0.200
18:15:08.314 > READ_CSV,30675,1,-2917.025,0,52.233700,152367,0.200
18:15:08.314 > READ_CSV,30675,2,-723.077,0,52.233700,37769,0.200
18:15:08.314 > READ_CSV,30675,3,-1820.051,0,52.233700,0,0.200
18:15:08.328 > READ_CSV,30688,1,-2917.025,0,52.233700,152367,0.200
18:15:08.328 > READ_CSV,30688,2,-723.077,0,52.233700,37769,0.200
18:15:08.328 > READ_CSV,30688,3,-1820.051,0,52.233700,0,0.200
18:15:08.341 > READ_CSV,30700,1,-2917.025,0,52.233700,152367,0.200
18:15:08.341 > READ_CSV,30700,2,-723.077,0,52.233700,37769,0.200
18:15:08.341 > READ_CSV,30700,3,-1820.051,0,52.233700,0,0.200
18:15:08.352 > READ_CSV,30713,1,-2917.025,0,52.233700,152367,0.200
18:15:08.352 > READ_CSV,30713,2,-723.077,0,52.233700,37769,0.200
18:15:08.352 > READ_CSV,30713,3,-1820.051,0,52.233700,0,0.200
18:15:08.366 > READ_CSV,30725,1,-2917.025,0,52.233700,152367,0.200
18:15:08.366 > READ_CSV,30725,2,-723.077,0,52.233700,37769,0.200
18:15:08.366 > READ_CSV,30725,3,-1820.051,0,52.233700,0,0.200
18:15:08.379 > READ_CSV,30738,1,-2917.025,0,52.233700,152367,0.200
18:15:08.379 > READ_CSV,30738,2,-723.077,0,52.233700,37769,0.200
18:15:08.379 > READ_CSV,30738,3,-1820.051,0,52.233700,0,0.200
18:15:08.392 > READ_CSV,30750,1,-2917.025,0,52.233700,152367,0.200
18:15:08.392 > READ_CSV,30750,2,-723.077,0,52.233700,37769,0.200
18:15:08.392 > READ_CSV,30750,3,-1820.051,0,52.233700,0,0.200
18:15:08.404 > READ_CSV,30763,1,-2917.025,0,52.233700,152367,0.200
18:15:08.404 > READ_CSV,30763,2,-723.077,0,52.233700,37769,0.200
18:15:08.404 > READ_CSV,30763,3,-1820.051,0,52.233700,0,0.200
