20:45:42.841 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:45:42.841 > Scale 1 is busy...
20:45:42.848 > Scale 2 is busy...
20:45:42.858 > Scale 1 is busy...
20:45:42.858 > Scale 2 is busy...
20:45:42.868 > Scale 1 is busy...
20:45:42.868 > Scale 2 is busy...
20:45:42.878 > Scale 1 is busy...
20:45:42.878 > Scale 2 is busy...
20:45:42.884 > Scale 1 is busy...
20:45:42.884 > Scale 2 is busy...
20:45:42.892 > Scale 1 is busy...
20:45:42.892 > Scale 2 is busy...
20:45:42.908 > Scale 1 is busy...
20:45:42.908 > Scale 2 is busy...
20:45:42.926 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
20:45:42.926 > Calibrating both scales together:
20:45:49.577 > Tare1 raw = 128974
20:45:49.577 > Tare2 raw = 56276
20:45:49.577 > 
20:45:49.577 > Calibration complete. Readings follow...
20:45:55.726 > [char] Starting throttle ramp to 0.40 then back to 0
20:45:55.729 > READ_CSV,17113,1,-2469.172,0,52.233700,128974,0.000,4.134
20:45:55.729 > READ_CSV,17113,2,-1077.389,0,52.233700,56276,0.000,4.134
20:45:55.729 > READ_CSV,17113,3,-1773.281,0,52.233700,0,0.000,4.134
20:45:55.739 > READ_CSV,17126,1,-2469.172,0,52.233700,128974,0.000,4.707
20:45:55.739 > READ_CSV,17126,2,-1077.389,0,52.233700,56276,0.000,4.707
20:45:55.739 > READ_CSV,17126,3,-1773.281,0,52.233700,0,0.000,4.707
20:45:55.748 > READ_CSV,17138,1,-2469.172,0,52.233700,128974,0.001,4.801
20:45:55.748 > READ_CSV,17138,2,-1077.389,0,52.233700,56276,0.001,4.801
20:45:55.748 > READ_CSV,17138,3,-1773.281,0,52.233700,0,0.001,4.801
20:45:55.765 > READ_CSV,17151,1,-2469.172,0,52.233700,128974,0.001,4.838
20:45:55.765 > READ_CSV,17151,2,-1077.389,0,52.233700,56276,0.001,4.838
20:45:55.765 > READ_CSV,17151,3,-1773.281,0,52.233700,0,0.001,4.838
20:45:55.775 > READ_CSV,17163,1,-2469.172,0,52.233700,128974,0.002,4.859
20:45:55.779 > READ_CSV,17163,2,-1077.389,0,52.233700,56276,0.002,4.859
20:45:55.779 > READ_CSV,17163,3,-1773.281,0,52.233700,0,0.002,4.859
20:45:55.788 > READ_CSV,17176,1,-2469.172,0,52.233700,128974,0.002,4.888
20:45:55.788 > READ_CSV,17176,2,-1077.389,0,52.233700,56276,0.002,4.888
20:45:55.788 > READ_CSV,17176,3,-1773.281,0,52.233700,0,0.002,4.888
20:45:55.802 > READ_CSV,17188,1,-2469.172,0,52.233700,128974,0.003,4.888
20:45:55.803 > READ_CSV,17188,2,-1077.389,0,52.233700,56276,0.003,4.888
20:45:55.803 > READ_CSV,17188,3,-1773.281,0,52.233700,0,0.003,4.888
20:45:55.811 > READ_CSV,17201,1,-2469.172,0,52.233700,128974,0.003,4.903
20:45:55.811 > READ_CSV,17201,2,-1077.389,0,52.233700,56276,0.003,4.903
20:45:55.811 > READ_CSV,17201,3,-1773.281,0,52.233700,0,0.003,4.903
20:45:55.828 > READ_CSV,17213,1,-2469.172,0,52.233700,128974,0.004,4.925
20:45:55.828 > READ_CSV,17213,2,-1077.389,0,52.233700,56276,0.004,4.925
20:45:55.828 > READ_CSV,17213,3,-1773.281,0,52.233700,0,0.004,4.925
20:45:55.838 > READ_CSV,17226,1,-2469.172,0,52.233700,128974,0.004,4.932
20:45:55.838 > READ_CSV,17226,2,-1077.389,0,52.233700,56276,0.004,4.932
20:45:55.838 > READ_CSV,17226,3,-1773.281,0,52.233700,0,0.004,4.932
20:45:55.853 > READ_CSV,17238,1,-2469.172,0,52.233700,128974,0.005,4.946
20:45:55.853 > READ_CSV,17238,2,-1077.389,0,52.233700,56276,0.005,4.946
20:45:55.853 > READ_CSV,17238,3,-1773.281,0,52.233700,0,0.005,4.946
20:45:55.861 > READ_CSV,17251,1,-2469.172,0,52.233700,128974,0.005,5.004
20:45:55.861 > READ_CSV,17251,2,-1077.389,0,52.233700,56276,0.005,5.004
20:45:55.861 > READ_CSV,17251,3,-1773.281,0,52.233700,0,0.005,5.004
20:45:55.877 > READ_CSV,17263,1,-2469.172,0,52.233700,128974,0.006,5.019
20:45:55.877 > READ_CSV,17263,2,-1077.389,0,52.233700,56276,0.006,5.019
20:45:55.877 > READ_CSV,17263,3,-1773.281,0,52.233700,0,0.006,5.019
20:45:55.889 > READ_CSV,17276,1,-2469.172,0,52.233700,128974,0.006,5.041
20:45:55.889 > READ_CSV,17276,2,-1077.389,0,52.233700,56276,0.006,5.041
20:45:55.889 > READ_CSV,17276,3,-1773.281,0,52.233700,0,0.006,5.041
20:45:55.902 > READ_CSV,17288,1,-2469.172,0,52.233700,128974,0.007,5.033
20:45:55.903 > READ_CSV,17288,2,-1077.389,0,52.233700,56276,0.007,5.033
20:45:55.903 > READ_CSV,17288,3,-1773.281,0,52.233700,0,0.007,5.033
20:45:55.911 > READ_CSV,17301,1,-2469.172,0,52.233700,128974,0.007,5.048
20:45:55.911 > READ_CSV,17301,2,-1077.389,0,52.233700,56276,0.007,5.048
20:45:55.911 > READ_CSV,17301,3,-1773.281,0,52.233700,0,0.007,5.048
20:45:55.926 > READ_CSV,17313,1,-2469.172,0,52.233700,128974,0.008,5.062
20:45:55.926 > READ_CSV,17313,2,-1077.389,0,52.233700,56276,0.008,5.062
20:45:55.926 > READ_CSV,17313,3,-1773.281,0,52.233700,0,0.008,5.062
20:45:55.934 > READ_CSV,17326,1,-2469.172,0,52.233700,128974,0.008,5.070
20:45:55.934 > READ_CSV,17326,2,-1077.389,0,52.233700,56276,0.008,5.070
