source_file,clock_time,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
100-test-1.log,00:32:47.983,15373,1,-1.636,-34748,51.957458,-34663,0.0,0.28
100-test-1.log,00:32:47.983,15373,2,-2.233,128239,51.957458,128355,0.0,0.28
100-test-1.log,00:32:47.983,15373,3,-1.934,0,51.957458,0,0.0,0.28
100-test-1.log,00:32:47.996,15385,1,-3.33,-34836,51.957458,-34663,0.0,0.43
100-test-1.log,00:32:47.996,15385,2,0.962,128405,51.957458,128355,0.0,0.43
100-test-1.log,00:32:47.996,15385,3,-1.184,0,51.957458,0,0.0,0.43
100-test-1.log,00:32:48.008,15398,1,0.558,-34634,51.957458,-34663,0.0,0.45
100-test-1.log,00:32:48.008,15398,2,2.464,128483,51.957458,128355,0.0,0.45
100-test-1.log,00:32:48.008,15398,3,1.511,0,51.957458,0,0.0,0.45
100-test-1.log,00:32:48.021,15410,1,0.693,-34627,51.957458,-34663,0.0,0.45
100-test-1.log,00:32:48.021,15410,2,3.233,128523,51.957458,128355,0.0,0.45
100-test-1.log,00:32:48.021,15410,3,1.963,0,51.957458,0,0.0,0.45
100-test-1.log,00:32:48.033,15423,1,-1.193,-34725,51.957458,-34663,0.0,0.45
100-test-1.log,00:32:48.033,15423,2,2.618,128491,51.957458,128355,0.0,0.45
100-test-1.log,00:32:48.033,15423,3,0.712,0,51.957458,0,0.0,0.45
100-test-1.log,00:32:48.045,15435,1,-0.25,-34676,51.957458,-34663,0.0,0.45
100-test-1.log,00:32:48.045,15435,2,-2.387,128231,51.957458,128355,0.0,0.45
100-test-1.log,00:32:48.045,15435,3,-1.318,0,51.957458,0,0.0,0.45
100-test-1.log,00:32:48.058,15448,1,0.366,-34644,51.957458,-34663,0.0,0.45
100-test-1.log,00:32:48.058,15448,2,-4.696,128111,51.957458,128355,0.0,0.45
100-test-1.log,00:32:48.058,15448,3,-2.165,0,51.957458,0,0.0,0.45
100-test-1.log,00:32:48.071,15460,1,0.404,-34642,51.957458,-34663,0.0,0.45
100-test-1.log,00:32:48.071,15460,2,2.194,128469,51.957458,128355,0.0,0.45
100-test-1.log,00:32:48.071,15460,3,1.299,0,51.957458,0,0.0,0.45
100-test-1.log,00:32:48.083,15473,1,-0.192,-34673,51.957458,-34663,0.0,0.46
100-test-1.log,00:32:48.083,15473,2,0.154,128363,51.957458,128355,0.0,0.46
100-test-1.log,00:32:48.083,15473,3,-0.019,0,51.957458,0,0.0,0.46
100-test-1.log,00:32:48.096,15485,1,-1.443,-34738,51.957458,-34663,0.0,0.46
100-test-1.log,00:32:48.096,15485,2,-3.079,128195,51.957458,128355,0.0,0.46
100-test-1.log,00:32:48.096,15485,3,-2.261,0,51.957458,0,0.0,0.46
100-test-1.log,00:32:48.108,15498,1,-4.196,-34881,51.957458,-34663,0.005,0.46
100-test-1.log,00:32:48.108,15498,2,-4.561,128118,51.957458,128355,0.005,0.46
100-test-1.log,00:32:48.108,15498,3,-4.379,0,51.957458,0,0.005,0.46
100-test-1.log,00:32:48.121,15511,1,-1.982,-34766,51.957458,-34663,0.005,0.45
100-test-1.log,00:32:48.121,15511,2,-2.983,128200,51.957458,128355,0.005,0.45
100-test-1.log,00:32:48.121,15511,3,-2.483,0,51.957458,0,0.005,0.45
100-test-1.log,00:32:48.134,15524,1,0.115,-34657,51.957458,-34663,0.005,0.45
100-test-1.log,00:32:48.134,15524,2,-0.712,128318,51.957458,128355,0.005,0.45
100-test-1.log,00:32:48.134,15524,3,-0.298,0,51.957458,0,0.005,0.45
